#col	row	gain	offset
18	27	3073.64	0
18	28	2908.4	0
18	29	3026.88	0
18	30	2932.09	0
18	31	3030.71	0
19	0	3008.64	0
19	1	3093.31	0
19	2	2943.62	0
19	3	2999.79	0
19	4	3073.47	0
19	5	2916.55	0
19	6	3048.91	0
19	7	2961.04	0
19	8	2893.19	0
19	9	2927.29	0
19	10	3026.95	0
19	11	2930.68	0
19	12	3062.21	0
19	13	2984.16	0
19	14	3059.57	0
19	15	3075.73	0
19	16	3207.09	0
19	17	3010.32	0
19	18	3083.79	0
19	19	3048.27	0
19	20	3008.01	0
19	21	3014.68	0
19	22	3070.38	0
19	23	2922.11	0
19	24	3102.48	0
19	25	2977.02	0
19	26	3109.22	0
19	27	3070.26	0
19	28	3022.11	0
19	29	2948.09	0
19	30	3044.8	0
19	31	3128.95	0
20	0	3053.01	0
20	1	3093.34	0
20	2	3070.32	0
20	3	2959.93	0
20	4	2936.21	0
20	5	3046.24	0
20	6	2822.75	0
20	7	2983.94	0
20	8	2933.86	0
20	9	2887.06	0
20	10	2930.54	0
20	11	3086.51	0
20	12	2972.34	0
20	13	3008.63	0
20	14	2964.54	0
20	15	3026.97	0
20	16	2966.38	0
20	17	2995.74	0
20	18	2861.71	0
20	19	3134.67	0
20	20	3042.22	0
20	21	2981.28	0
20	22	2951.32	0
20	23	3085.75	0
20	24	2942.1	0
20	25	3104.13	0
20	26	3008.87	0
20	27	3080.67	0
20	28	2958.49	0
20	29	3091.53	0
20	30	2930.05	0
20	31	2987.67	0
21	0	3040.51	0
21	1	3039.73	0
21	2	3034.14	0
21	3	3041.72	0
21	4	3089.27	0
21	5	2930.29	0
21	6	3086.16	0
21	7	2986.47	0
21	8	2979.8	0
21	9	2933.28	0
21	10	2993.44	0
21	11	2973.4	0
21	12	3129.6	0
21	13	3067.84	0
21	14	3076.08	0
21	15	2975.85	0
21	16	3091.83	0
21	17	2919.07	0
21	18	3180.17	0
21	19	3010.26	0
21	20	3069.17	0
21	21	2936.03	0
21	22	3009.38	0
21	23	2962.91	0
21	24	3095.54	0
21	25	3049.37	0
21	26	3164.08	0
21	27	3019.84	0
21	28	3003.63	0
21	29	2913.01	0
21	30	3086.12	0
21	31	3058.87	0
22	0	2981.15	0
22	1	2943.33	0
22	2	3089.02	0
22	3	3012.49	0
22	4	2921.44	0
22	5	3083.66	0
22	6	2920.71	0
22	7	2926.23	0
22	8	2968.73	0
22	9	2932.99	0
22	10	2975.7	0
22	11	2993.36	0
22	12	2911.13	0
22	13	3044.92	0
22	14	3049.39	0
22	15	3038.79	0
22	16	2962.07	0
22	17	3135.53	0
22	18	3022.55	0
22	19	3037.44	0
22	20	3076.37	0
22	21	3034.75	0
22	22	2961.64	0
22	23	2933.76	0
22	24	2957	0
22	25	3058.65	0
22	26	3083.68	0
22	27	3153.79	0
22	28	2948.24	0
22	29	2998.68	0
22	30	2980.62	0
22	31	3001.05	0
23	0	2972.83	0
23	1	3046.74	0
23	2	2949.9	0
23	3	2970.05	0
23	4	3135.41	0
23	5	2952.82	0
23	6	3110.6	0
23	7	2935.56	0
23	8	2907.43	0
23	9	2951.46	0
23	10	2975.27	0
23	11	2935.89	0
23	12	2995.46	0
23	13	2972.23	0
23	14	2995.78	0
23	15	3081.74	0
23	16	3101.43	0
23	17	2974.05	0
23	18	3146.24	0
23	19	3030.31	0
23	20	2969.14	0
23	21	3013.86	0
23	22	2941.24	0
23	23	2949.54	0
23	24	3017.19	0
23	25	3000.37	0
23	26	3067.98	0
23	27	3116.07	0
23	28	2955.41	0
23	29	2944.31	0
23	30	3002.5	0
23	31	3115.64	0
24	0	3012.24	0
24	1	3011.83	0
24	2	3049.82	0
24	3	2883.78	0
24	4	2900.52	0
24	5	3091.36	0
24	6	2939.02	0
24	7	2969.93	0
24	8	2955.62	0
24	9	2878.22	0
24	10	2937.46	0
24	11	3001.43	0
24	12	2977.5	0
24	13	3067.2	0
24	14	2966.69	0
24	15	2988.9	0
24	16	3023.69	0
24	17	3087.86	0
24	18	2949.46	0
24	19	3040.8	0
24	20	3024.58	0
24	21	2872.17	0
24	22	2983.29	0
24	23	2992.19	0
24	24	3009.23	0
24	25	3100.39	0
24	26	2990.96	0
24	27	3082.21	0
24	28	2937.78	0
24	29	2953.51	0
24	30	2945	0
24	31	2975.08	0
25	0	3059.06	0
25	1	3037.15	0
25	2	2997.23	0
25	3	3092.8	0
25	4	3101.16	0
25	5	3009.28	0
25	6	3109.27	0
25	7	2932.08	0
25	8	2914.54	0
25	9	2921.42	0
25	10	2942.98	0
25	11	2998.26	0
25	12	2991.1	0
25	13	3109.74	0
25	14	3102.58	0
25	15	3009.17	0
25	16	3118.52	0
25	17	2971.99	0
25	18	3106.62	0
25	19	3037.56	0
25	20	3000.82	0
25	21	3064.33	0
25	22	2985.87	0
25	23	2991.19	0
25	24	3010.62	0
25	25	3107.57	0
25	26	3127.22	0
25	27	3017.56	0
25	28	2953.49	0
25	29	2956.25	0
25	30	2948.35	0
25	31	3023.74	0
26	0	3016.67	0
26	1	2932.27	0
26	2	3000.42	0
26	3	2979.88	0
26	4	2958.53	0
26	5	3000.56	0
26	6	3030.7	0
26	7	2889.59	0
26	8	2964.23	0
26	9	2934.46	0
26	10	2998.13	0
26	11	2957.93	0
26	12	2919.47	0
26	13	3057.89	0
26	14	3091.45	0
26	15	3102.47	0
26	16	2982.82	0
26	17	3020.98	0
26	18	3023.78	0
26	19	2938.62	0
26	20	3048.18	0
26	21	3012.24	0
26	22	3036.15	0
26	23	2995.95	0
26	24	2958.09	0
26	25	3039.66	0
26	26	3077.39	0
26	27	3110.7	0
26	28	3013.19	0
26	29	2994.84	0
26	30	2940.43	0
26	31	2980.25	0
27	0	3001.92	0
27	1	3121.81	0
27	2	2895.18	0
27	3	3078.3	0
27	4	2981.02	0
27	5	2994.2	0
27	6	3104.97	0
27	7	2960.12	0
27	8	2888.82	0
27	9	2982.88	0
27	10	3007.01	0
27	11	3006.22	0
27	12	2960.21	0
27	13	3013.2	0
27	14	2927.99	0
27	15	3027.04	0
27	16	3021.28	0
27	17	3031.76	0
27	18	3101.38	0
27	19	3087.65	0
27	20	2925.64	0
27	21	3092.38	0
27	22	3018.1	0
27	23	3022.21	0
